"Group","Scenario","Year","Category","PDFx100"
"RCP2.6","noAFM","2080","Pasture",3.23357229675471
"RCP2.6","noAFM","2080","Permanent_crops",1.39579216219646
"RCP2.6","noAFM","2080","Urban",1.09423842925586
"REF","noAFM","2080","Afforestation",0
"REF","noAFM","2080","Regrowth",0
"REF","noAFM","2080","Forest",1.48636391358401
"REF","noAFM","2080","Energy_crops_and_plantations",0.114507571426347
"REF","noAFM","2080","Annual_crops",3.67307065449431
"REF","noAFM","2080","Pasture",5.20308652975803
"REF","noAFM","2080","Permanent_crops",1.39579437414614
"REF","noAFM","2080","Urban",1.09423842925586
"RCP2.6","noAFM","2090","Afforestation",0
"RCP2.6","noAFM","2090","Regrowth",0
"RCP2.6","noAFM","2090","Forest",2.27036187904852
"RCP2.6","noAFM","2090","Energy_crops_and_plantations",1.49325036280819
"RCP2.6","noAFM","2090","Annual_crops",2.14071572548963
"RCP2.6","noAFM","2090","Pasture",2.84632668255987
"RCP2.6","noAFM","2090","Permanent_crops",1.39579370759046
"RCP2.6","noAFM","2090","Urban",1.09423842925586
"REF","noAFM","2090","Afforestation",0
"REF","noAFM","2090","Regrowth",0
"REF","noAFM","2090","Forest",1.54405673273863
"REF","noAFM","2090","Energy_crops_and_plantations",0.122972055754505
"REF","noAFM","2090","Annual_crops",3.67485967514986
"REF","noAFM","2090","Pasture",5.18488397219388
"REF","noAFM","2090","Permanent_crops",1.39579876759433
"REF","noAFM","2090","Urban",1.09423842925586
"RCP2.6","noAFM","2100","Afforestation",0
"RCP2.6","noAFM","2100","Regrowth",0
"RCP2.6","noAFM","2100","Forest",2.59711519181183
"RCP2.6","noAFM","2100","Energy_crops_and_plantations",1.63489531253863
"RCP2.6","noAFM","2100","Annual_crops",1.86077302572376
"RCP2.6","noAFM","2100","Pasture",2.44095338340921
"RCP2.6","noAFM","2100","Permanent_crops",1.39577519423014
"RCP2.6","noAFM","2100","Urban",1.09423842925586
"REF","noAFM","2100","Afforestation",0
"REF","noAFM","2100","Regrowth",0
"REF","noAFM","2100","Forest",1.59943618448376
"REF","noAFM","2100","Energy_crops_and_plantations",0.13039866803439
"REF","noAFM","2100","Annual_crops",3.66925697457346
"REF","noAFM","2100","Pasture",5.15121940313388
"REF","noAFM","2100","Permanent_crops",1.39579000679436
"REF","noAFM","2100","Urban",1.09423842925586
