"Group","Scenario","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP2.6_MFM","noAFM",0.0303244212963453,0.0361280079949365,0.030436696238402,0.0179945589558613,2.93055405077528,1.35966608255434,4.01981511959078,1.0762438703,0.015469740341839,0.0110297540913278,0.0065285126085373,0,0.0388716186390414,0,0,0.00487843835835277,0,0.0018893481443365,0.00268630474944851,0.413892506078789,0.00629128197132157,0,0,0,0.000562876080158642,0.283961300637972,0.00514075370712636,1.03474215780451
"RCP2.6_SFM","noAFM",0.030324359599833,0.0361280079949365,0.0304367665957935,0.0179945589558613,2.93058976988881,1.35966608255434,4.01984741167659,1.0762438703,0.015470927028774,0.011037809686812,0.006527663048412,0,0.0400131120531278,0,0,0.00487829794210391,0,0.0018893481443365,0.00268610308596379,0.413892506078789,0.00616655122152059,0,0,0,0.000562733402399845,0.283912703050341,0.00513942939315909,1.03447753887638
"REF_MFM","noAFM",0.0387490446827547,0.0361262082000402,0.0317831459950122,0.0179945589558613,3.46505652574678,1.35966961712627,5.03872252431018,1.0762438703,0.0138765263084748,0.0106497889557698,0.0065242407541538,0,0.0332447321415651,0,0,0.00567847677715332,0,0.0012971231289698,0.00208223203790982,0.080099547574401,0.00307591576424255,0,0,0,0.000669424992171702,0.282094242238588,0.00431284986735443,1.01047792722906
"REF_SFM","noAFM",0.0387419669400442,0.0361262082000402,0.0317831352939541,0.0179945589558613,3.46513518213107,1.35966961712627,5.03871866479992,1.0762438703,0.0138796135630209,0.010664007972146,0.0065222033801604,0,0.0333782247649955,0,0,0.00567795879192167,0,0.0012971231289698,0.00208799550272835,0.080099547574401,0.00302262175856539,0,0,0,0.000669104519400412,0.282105608467208,0.00431078986033984,1.01038982801985
"RCP2.6_MFM","AFMfree",0.0303394226421828,0.0361280079949365,0.0304473489661451,0.0179945589558613,2.9311116910166,1.35966608255434,4.01986606919734,1.0762438703,0.01324984115979,0.0100346389968777,0.0066268849080197,0.000731935656922071,0.0279134355024775,0,0,0.00523236765452105,0,0.0018893481443365,0.00265305778649002,0.413892506078789,0.00593143245697047,0,0,0,0.000568862711232028,0.285358950580818,0.00517499610645502,1.03664842007604
"RCP2.6_SFM","AFMfree",0.0303409503646306,0.0361280079949365,0.03044687921677,0.0179945589558613,2.93122918608856,1.35966608255434,4.01994855165319,1.0762438703,0.0133998383857642,0.0100590391856632,0.0065586967786352,0.000720552639632215,0.0293071541003521,0,0,0.0047260944837107,0,0.0018893481443365,0.00265095735339588,0.413892506078789,0.00561771346005415,0,0,0,0.000568980500657542,0.285348254488523,0.00518772684722371,1.03626517808865
"REF_MFM","AFMfree",0.0387615649723939,0.0361262082000402,0.0317944106805917,0.0179945589558613,3.46498832032582,1.35966961712627,5.03870830658298,1.0762438703,0.0118689352922096,0.00964936362250312,0.00662584142077699,0.000640941245199233,0.0196552464394981,0,0,0.00602584360345024,0,0.0012971231289698,0.00205624858553104,0.080099547574401,0.00310452270439325,0,0,0,0.000671697341043187,0.283906280988231,0.00432791360496653,1.01325338022747
"REF_SFM","AFMfree",0.0387817851891789,0.0361262082000402,0.0317892966350371,0.0179945589558613,3.46500260790711,1.35966961712627,5.03869038910879,1.0762438703,0.0120608091360225,0.00970881342049654,0.0064713280308077,0.000633806148761016,0.0198374940794486,0,0,0.00532668969176159,0,0.0012971231289698,0.00204731594674866,0.080099547574401,0.00313727435322109,0,0,0,0.000675735814597091,0.283897121906642,0.0043547928152682,1.01325317725763
"RCP2.6_MFM","AFM25",0.030326624420132,0.0361280079949365,0.03044226012588,0.0179945589558613,2.93106051534557,1.35966608255434,4.0198559968355,1.0762438703,0.0130738929604547,0.0101178614391459,0.0065745795344378,0.000594041905074461,0.0290125128443582,0,0,0.00550368162516392,0,0.0018893481443365,0.00267286396063595,0.413892506078789,0.00590441836697445,0,0,0,0.000568999514204453,0.285328206464791,0.00517457465039339,1.03625599938789
"RCP2.6_SFM","AFM25",0.0303213256338785,0.0361280079949365,0.0304338361903494,0.0179945589558613,2.92993560097445,1.35966608255434,4.01965596852663,1.0762438703,0.0133668351663398,0.0110393658570021,0.0068081153753355,0.000638993024649929,0.0261654403622118,0,0,0.0044917374094025,0,0.0018893481443365,0.00270061925994241,0.413892506078789,0.0069329411374445,0,0,0,0.000568674272412624,0.285307178622288,0.00518497243727616,1.03773926847397
