"Group","PDFx100","lower95","upper95","Year"
"RCP2.6",14.0693640958703,0,0,"2020"
"REF",14.0751699853006,0,0,"2020"
"RCP2.6",13.9449561006479,0,0,"2030"
"REF",14.6901206815532,0,0,"2030"
"RCP2.6",14.0058157961523,0,0,"2040"
"REF",15.1575151586426,0,0,"2040"
"RCP2.6",14.0307427234522,0,0,"2050"
"REF",15.516738992586,0,0,"2050"
"RCP2.6",14.0206979404199,0,0,"2060"
"REF",15.8440885639607,0,0,"2060"
"RCP2.6",14.070345943644,0,0,"2070"
"REF",16.0829391707741,0,0,"2070"
"RCP2.6",14.2030256150807,0,0,"2080"
"REF",16.2154487052679,0,0,"2080"
"RCP2.6",14.2853098042835,0,0,"2090"
"REF",16.2900052283927,0,0,"2090"
"RCP2.6",14.1780470440889,0,0,"2100"
"REF",16.3227968198646,0,0,"2100"
