"Group","PDF","lower95","upper95","Scenario","Year"
"REF_SFM",0.000235193595471656,0,0,"AFM25","2050"
"RCP2.6_MFM",0.000266786883985333,0,0,"AFM50","2050"
"RCP2.6_SFM",0.000268648996894568,0,0,"AFM50","2050"
"REF_MFM",0.000227343325855164,0,0,"AFM50","2050"
"REF_SFM",0.000231439086055929,0,0,"AFM50","2050"
"RCP2.6_MFM",0.00026291691174241,0,0,"AFM75","2050"
"RCP2.6_SFM",0.000261212456069655,0,0,"AFM75","2050"
"REF_MFM",0.00022226526285805,0,0,"AFM75","2050"
"REF_SFM",0.000226244068722486,0,0,"AFM75","2050"
"RCP2.6_MFM",0.000256956170591655,0,0,"AFM100","2050"
"RCP2.6_SFM",0.000250479218300709,0,0,"AFM100","2050"
"REF_MFM",0.000217883209787614,0,0,"AFM100","2050"
"REF_SFM",0.000216552318397299,0,0,"AFM100","2050"
"RCP2.6_MFM",0.000334669321514164,0,0,"noAFM","2060"
"RCP2.6_SFM",0.000334649089283212,0,0,"noAFM","2060"
"REF_MFM",0.000258147161190679,0,0,"noAFM","2060"
"REF_SFM",0.000258327022174533,0,0,"noAFM","2060"
"RCP2.6_MFM",0.000319486665976068,0,0,"AFMfree","2060"
"RCP2.6_SFM",0.000321011708823008,0,0,"AFMfree","2060"
"REF_MFM",0.00023797182416922,0,0,"AFMfree","2060"
"REF_SFM",0.000245149898999439,0,0,"AFMfree","2060"
"RCP2.6_MFM",0.000318518321163596,0,0,"AFM25","2060"
"RCP2.6_SFM",0.000320309029784295,0,0,"AFM25","2060"
"REF_MFM",0.000233070394831904,0,0,"AFM25","2060"
"REF_SFM",0.000240109969905039,0,0,"AFM25","2060"
"RCP2.6_MFM",0.000310534867489707,0,0,"AFM50","2060"
"RCP2.6_SFM",0.000317623719668011,0,0,"AFM50","2060"
"REF_MFM",0.000228515841464658,0,0,"AFM50","2060"
"REF_SFM",0.000234918651141695,0,0,"AFM50","2060"
"RCP2.6_MFM",0.000304115658813059,0,0,"AFM75","2060"
"RCP2.6_SFM",0.000316423929126871,0,0,"AFM75","2060"
"REF_MFM",0.000219941926888642,0,0,"AFM75","2060"
"REF_SFM",0.000226363755393789,0,0,"AFM75","2060"
"RCP2.6_MFM",0.000300388790508104,0,0,"AFM100","2060"
"RCP2.6_SFM",0.000307883586194689,0,0,"AFM100","2060"
"REF_MFM",0.00021222462809775,0,0,"AFM100","2060"
"REF_SFM",0.000212555730450884,0,0,"AFM100","2060"
"RCP2.6_MFM",0.000413437759671686,0,0,"noAFM","2070"
"RCP2.6_SFM",0.000413431746388826,0,0,"noAFM","2070"
"REF_MFM",0.000264619362954308,0,0,"noAFM","2070"
"REF_SFM",0.000264817673203543,0,0,"noAFM","2070"
"RCP2.6_MFM",0.000402855887561182,0,0,"AFMfree","2070"
"RCP2.6_SFM",0.000400118854496285,0,0,"AFMfree","2070"
"REF_MFM",0.00024291711844539,0,0,"AFMfree","2070"
"REF_SFM",0.000250919723764874,0,0,"AFMfree","2070"
"RCP2.6_MFM",0.000394364687717541,0,0,"AFM25","2070"
"RCP2.6_SFM",0.000397669431156808,0,0,"AFM25","2070"
"REF_MFM",0.000235436637317625,0,0,"AFM25","2070"
"REF_SFM",0.000246872569637791,0,0,"AFM25","2070"
"RCP2.6_MFM",0.000378771519041918,0,0,"AFM50","2070"
"RCP2.6_SFM",0.000391283165927671,0,0,"AFM50","2070"
"REF_MFM",0.000229513692038286,0,0,"AFM50","2070"
"REF_SFM",0.000237833911680379,0,0,"AFM50","2070"
