"Group","PDF","lower95","upper95","Scenario","Year"
"REF_SFM",0.000692369953760046,0,0,"AFM25","2050"
"RCP2.6_MFM",0.000825409079925612,0,0,"AFM50","2050"
"RCP2.6_SFM",0.000938707701307641,0,0,"AFM50","2050"
"REF_MFM",0.000651040448741215,0,0,"AFM50","2050"
"REF_SFM",0.000830070360994439,0,0,"AFM50","2050"
"RCP2.6_MFM",0.000813642223053309,0,0,"AFM75","2050"
"RCP2.6_SFM",0.00108444369352498,0,0,"AFM75","2050"
"REF_MFM",0.000691894486588595,0,0,"AFM75","2050"
"REF_SFM",0.000866081755333967,0,0,"AFM75","2050"
"RCP2.6_MFM",0.000879885335204617,0,0,"AFM100","2050"
"RCP2.6_SFM",0.00132058974701143,0,0,"AFM100","2050"
"REF_MFM",0.000711105128995096,0,0,"AFM100","2050"
"REF_SFM",0.00101141585062646,0,0,"AFM100","2050"
"RCP2.6_MFM",0.00110702395348539,0,0,"noAFM","2060"
"RCP2.6_SFM",0.00112830010972891,0,0,"noAFM","2060"
"REF_MFM",0.000868549044965204,0,0,"noAFM","2060"
"REF_SFM",0.000877191463537003,0,0,"noAFM","2060"
"RCP2.6_MFM",0.000958405254107446,0,0,"AFMfree","2060"
"RCP2.6_SFM",0.000957146516102185,0,0,"AFMfree","2060"
"REF_MFM",0.000692270187592586,0,0,"AFMfree","2060"
"REF_SFM",0.00070784203953751,0,0,"AFMfree","2060"
"RCP2.6_MFM",0.000951704674234893,0,0,"AFM25","2060"
"RCP2.6_SFM",0.00102501738200032,0,0,"AFM25","2060"
"REF_MFM",0.000692408153999213,0,0,"AFM25","2060"
"REF_SFM",0.000758590400376031,0,0,"AFM25","2060"
"RCP2.6_MFM",0.00100092055222399,0,0,"AFM50","2060"
"RCP2.6_SFM",0.00132749323817377,0,0,"AFM50","2060"
"REF_MFM",0.000706186130909465,0,0,"AFM50","2060"
"REF_SFM",0.000956551567592843,0,0,"AFM50","2060"
"RCP2.6_MFM",0.00103674614900461,0,0,"AFM75","2060"
"RCP2.6_SFM",0.00154096702791291,0,0,"AFM75","2060"
"REF_MFM",0.000766421667639586,0,0,"AFM75","2060"
"REF_SFM",0.00106503393384,0,0,"AFM75","2060"
"RCP2.6_MFM",0.00115427167665242,0,0,"AFM100","2060"
"RCP2.6_SFM",0.00174286855639326,0,0,"AFM100","2060"
"REF_MFM",0.000810249605051886,0,0,"AFM100","2060"
"REF_SFM",0.00133782457210859,0,0,"AFM100","2060"
"RCP2.6_MFM",0.00134917327297924,0,0,"noAFM","2070"
"RCP2.6_SFM",0.00136812239976656,0,0,"noAFM","2070"
"REF_MFM",0.000952943618208669,0,0,"noAFM","2070"
"REF_SFM",0.000964811164650966,0,0,"noAFM","2070"
"RCP2.6_MFM",0.00113048148175946,0,0,"AFMfree","2070"
"RCP2.6_SFM",0.00112155905965988,0,0,"AFMfree","2070"
"REF_MFM",0.000728110271685808,0,0,"AFMfree","2070"
"REF_SFM",0.000752358760651997,0,0,"AFMfree","2070"
"RCP2.6_MFM",0.00117808539349198,0,0,"AFM25","2070"
"RCP2.6_SFM",0.00133794921783236,0,0,"AFM25","2070"
"REF_MFM",0.000733046874403714,0,0,"AFM25","2070"
"REF_SFM",0.000819830469073413,0,0,"AFM25","2070"
"RCP2.6_MFM",0.00124812697870473,0,0,"AFM50","2070"
"RCP2.6_SFM",0.00162941584305604,0,0,"AFM50","2070"
"REF_MFM",0.000753703622378818,0,0,"AFM50","2070"
"REF_SFM",0.00108336710557899,0,0,"AFM50","2070"
"RCP2.6_MFM",0.00135321181864881,0,0,"AFM75","2070"
"RCP2.6_SFM",0.00185979801193981,0,0,"AFM75","2070"
"REF_MFM",0.000835473982244158,0,0,"AFM75","2070"
"REF_SFM",0.00126291701642986,0,0,"AFM75","2070"
"RCP2.6_MFM",0.00141679928087241,0,0,"AFM100","2070"
"RCP2.6_SFM",0.00214907385003861,0,0,"AFM100","2070"
"REF_MFM",0.000910159617053451,0,0,"AFM100","2070"
"REF_SFM",0.00162534545637395,0,0,"AFM100","2070"
"RCP2.6_MFM",0.00165979243855883,0,0,"noAFM","2080"
"RCP2.6_SFM",0.0016662552548602,0,0,"noAFM","2080"
"REF_MFM",0.00102333050606823,0,0,"noAFM","2080"
"REF_SFM",0.00103521051159729,0,0,"noAFM","2080"
"RCP2.6_MFM",0.00131770048055889,0,0,"AFMfree","2080"
"RCP2.6_SFM",0.00130415386016595,0,0,"AFMfree","2080"
"REF_MFM",0.000764883982594653,0,0,"AFMfree","2080"
"REF_SFM",0.000789161672472582,0,0,"AFMfree","2080"
"RCP2.6_MFM",0.00138465227526177,0,0,"AFM25","2080"
"RCP2.6_SFM",0.00155895381896826,0,0,"AFM25","2080"
"REF_MFM",0.00077140086673675,0,0,"AFM25","2080"
"REF_SFM",0.000878720452302557,0,0,"AFM25","2080"
"RCP2.6_MFM",0.00144780138285317,0,0,"AFM50","2080"
"RCP2.6_SFM",0.00192163748834698,0,0,"AFM50","2080"
"REF_MFM",0.000794035291507564,0,0,"AFM50","2080"
"REF_SFM",0.00121007303182108,0,0,"AFM50","2080"
"RCP2.6_MFM",0.00158686326994048,0,0,"AFM75","2080"
"RCP2.6_SFM",0.00216281558416704,0,0,"AFM75","2080"
"REF_MFM",0.000881636035778446,0,0,"AFM75","2080"
"REF_SFM",0.00143847209695508,0,0,"AFM75","2080"
"RCP2.6_MFM",0.00167148947027573,0,0,"AFM100","2080"
"RCP2.6_SFM",0.00247833398101895,0,0,"AFM100","2080"
"REF_MFM",0.000980292171983915,0,0,"AFM100","2080"
"REF_SFM",0.00185380936425158,0,0,"AFM100","2080"
"RCP2.6_MFM",0.00189128444088928,0,0,"noAFM","2090"
"RCP2.6_SFM",0.00189529674459563,0,0,"noAFM","2090"
"REF_MFM",0.00106620494760993,0,0,"noAFM","2090"
"REF_SFM",0.00107780787866793,0,0,"noAFM","2090"
"RCP2.6_MFM",0.00158924041920163,0,0,"AFMfree","2090"
"RCP2.6_SFM",0.00157957475124596,0,0,"AFMfree","2090"
"REF_MFM",0.00079370711678358,0,0,"AFMfree","2090"
"REF_SFM",0.00081630740326383,0,0,"AFMfree","2090"
"RCP2.6_MFM",0.00161249461845972,0,0,"AFM25","2090"
"RCP2.6_SFM",0.00180782489201808,0,0,"AFM25","2090"
"REF_MFM",0.000800758731430627,0,0,"AFM25","2090"
"REF_SFM",0.000928890740082359,0,0,"AFM25","2090"
"RCP2.6_MFM",0.00168306584921512,0,0,"AFM50","2090"
"RCP2.6_SFM",0.00225547491673688,0,0,"AFM50","2090"
"REF_MFM",0.000836351681792659,0,0,"AFM50","2090"
"REF_SFM",0.00128205664879499,0,0,"AFM50","2090"
"RCP2.6_MFM",0.00184153171512091,0,0,"AFM75","2090"
"RCP2.6_SFM",0.00252764063195724,0,0,"AFM75","2090"
"REF_MFM",0.000918012418068642,0,0,"AFM75","2090"
"REF_SFM",0.0015722664380324,0,0,"AFM75","2090"
"RCP2.6_MFM",0.00193362428553522,0,0,"AFM100","2090"
"RCP2.6_SFM",0.00287726318069851,0,0,"AFM100","2090"
"REF_MFM",0.0010272191712766,0,0,"AFM100","2090"
"REF_SFM",0.00202860439799665,0,0,"AFM100","2090"
"RCP2.6_MFM",0.00214526840078214,0,0,"noAFM","2100"
"RCP2.6_SFM",0.00215197183855375,0,0,"noAFM","2100"
"REF_MFM",0.00110263721060404,0,0,"noAFM","2100"
"REF_SFM",0.00111633174220655,0,0,"noAFM","2100"
