"Group","Scenario","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP2.6_MFM","noAFM",0.0860422245675345,0.103568378313155,0.0538627252929026,0.0273140909967538,2.63118516669268,1.16208853351031,4.17666914811901,0.727534877193319,0.0243561775847589,0.00788751153380173,0.0111644918862029,0,0.0361756077294771,0,0,0.0104849954732317,0,0.00241198766709325,0.00605228997449026,0.405801905983666,0.00558690790818753,0,0,0,0.00070886497656404,0.249286165854766,0.00560817921215778,0.879260390180047
"RCP2.6_SFM","noAFM",0.0860421138285167,0.103568378313155,0.0538628573266641,0.0273140909967538,2.63123595025251,1.16208853351031,4.17676080513577,0.727534877193319,0.0243580354770969,0.0078989638873456,0.0111630390425291,0,0.0379758261668008,0,0,0.0104848195143534,0,0.00241198766709325,0.00605182165889777,0.405801905983666,0.00537107100559238,0,0,0,0.000708489864480074,0.249215705853219,0.0056046640349769,0.878803662263373
"REF_MFM","noAFM",0.114318188127372,0.103567924331118,0.0576452839289393,0.0273140909967538,3.07715563772326,1.16208586721887,5.18096880893702,0.727534877193319,0.0217188460738333,0.00751199955842655,0.0111571865347639,0,0.030985971571809,0,0,0.0120127929209752,0,0.00186118471815925,0.00463658361485212,0.0810956446641405,0.00246051303462955,0,0,0,0.000816322748718491,0.249103760399328,0.00450358281612394,0.862294492020563
"REF_SFM","noAFM",0.114290761801318,0.103567924331118,0.0576452642811084,0.0273140909967538,3.07725153725011,1.16208586721887,5.18098046977918,0.727534877193319,0.021723096303562,0.00753327530119457,0.0111537023942867,0,0.0313695269736056,0,0,0.0120123322772885,0,0.00186118471815925,0.00465349820220706,0.0810956446641405,0.00237151247271264,0,0,0,0.00081560120814619,0.249098000227929,0.00449896782146116,0.862129900691397
"RCP2.6_MFM","AFMfree",0.0860796721714431,0.103568378313155,0.0538836666521595,0.0273140909967538,2.63156934756099,1.16208853351031,4.17669999999346,0.727534877193319,0.0204440224028567,0.0070030964748254,0.0113327196002709,0.00128403454564342,0.0281859541790281,0,0,0.0113443731187073,0,0.00241198766709325,0.00596380195802985,0.405801905983666,0.00533231099796993,0,0,0,0.000720974994447752,0.250215609507992,0.00569270564104017,0.880856130044548
"RCP2.6_SFM","AFMfree",0.0860760969402717,0.103568378313155,0.0538821035311404,0.0273140909967538,2.6317148132376,1.16208853351031,4.1768594509762,0.727534877193319,0.0205861401871963,0.00712162201202557,0.0111738225406096,0.00127734877148724,0.0307377571330231,0,0,0.010165599778875,0,0.00241198766709325,0.00597071349877551,0.405801905983666,0.00489061634321662,0,0,0,0.000718871618683935,0.250150260583679,0.00568486306211099,0.880148206271031
"REF_MFM","AFMfree",0.114293417972016,0.103567924331118,0.0576674392338576,0.0273140909967538,3.07718034000235,1.16208586721887,5.18097289899588,0.727534877193319,0.018424204011275,0.00666886359320208,0.0113309351171316,0.00114310646700994,0.0215062953956437,0,0,0.0126541011238862,0,0.00186118471815925,0.00460105070167691,0.0810956446641405,0.00242335351686801,0,0,0,0.000818986517631159,0.250342166538476,0.00451859723228416,0.864333782212861
"REF_SFM","AFMfree",0.11428939951403,0.103567924331118,0.0576563796731413,0.0273140909967538,3.07715495890358,1.16208586721887,5.18095547523231,0.727534877193319,0.0190507480659518,0.00675028289966177,0.0108331731104774,0.00105273331358268,0.021763262185675,0,0,0.0110317853995272,0,0.00186118471815925,0.00462466808339312,0.0810956446641405,0.00246109096599344,0,0,0,0.000824738763570329,0.250330445467055,0.00455420315115629,0.864315984095547
"RCP2.6_MFM","AFM25",0.0860528981567925,0.103568378313155,0.0538781213008391,0.0273140909967538,2.63160625003992,1.16208853351031,4.17678034180015,0.727534877193319,0.020429509705012,0.007041859942101,0.0112432715209114,0.00104292618202731,0.0306108502927,0,0,0.01166420429513,0,0.00241198766709325,0.00599198793465761,0.405801905983666,0.0051189599224312,0,0,0,0.000721348715980151,0.250157352658586,0.00569441208513705,0.880096801269249
"RCP2.6_SFM","AFM25",0.0860237733552241,0.103568378313155,0.0538626958153593,0.0273140909967538,2.63067658642889,1.16208853351031,4.17648200660783,0.727534877193319,0.0208346479967616,0.00787603581890038,0.0116275176015608,0.00115700838828945,0.0267528755467893,0,0,0.00965711630767877,0,0.00241198766709325,0.00607601131298319,0.405801905983666,0.00621889256975702,0,0,0,0.000718291260979183,0.250191812869857,0.005679883091574,0.881613123117644
