"Group","Scenario","Values","lower95","upper95"
"RCP2.6_MFM","noAFM",232.156199606548,0,0
"RCP2.6_SFM","noAFM",232.372924158009,0,0
"REF_MFM","noAFM",197.120094793373,0,0
"REF_SFM","noAFM",195.859394906443,0,0
"RCP2.6_MFM","AFMfree",207.06740294487,0,0
"RCP2.6_SFM","AFMfree",207.270742317335,0,0
"REF_MFM","AFMfree",171.710502912884,0,0
"REF_SFM","AFMfree",167.522549175045,0,0
"RCP2.6_MFM","AFM25",213.733255126116,0,0
"RCP2.6_SFM","AFM25",211.480626300076,0,0
"REF_MFM","AFM25",176.057401344112,0,0
"REF_SFM","AFM25",169.214210420199,0,0
"RCP2.6_MFM","AFM50",225.176468650397,0,0
"RCP2.6_SFM","AFM50",219.949206410352,0,0
"REF_MFM","AFM50",183.2784844835,0,0
"REF_SFM","AFM50",175.171551599458,0,0
"RCP2.6_MFM","AFM75",236.931768223409,0,0
"RCP2.6_SFM","AFM75",232.860586754379,0,0
"REF_MFM","AFM75",195.619504509979,0,0
"REF_SFM","AFM75",188.895691996501,0,0
"RCP2.6_MFM","AFM100",247.465656313284,0,0
"RCP2.6_SFM","AFM100",249.512242633459,0,0
"REF_MFM","AFM100",204.822221919829,0,0
"REF_SFM","AFM100",202.343716971213,0,0
