"Group","Scenario","Values","lower95","upper95"
"RCP2.6_MFM","noAFM",140.739383251956,0,0
"RCP2.6_SFM","noAFM",140.74170725848,0,0
"REF_MFM","noAFM",116.901819607821,0,0
"REF_SFM","noAFM",116.898608228977,0,0
"RCP2.6_MFM","AFMfree",139.183876744829,0,0
"RCP2.6_SFM","AFMfree",138.044801147082,0,0
"REF_MFM","AFMfree",115.497509973393,0,0
"REF_SFM","AFMfree",109.653249710755,0,0
"RCP2.6_MFM","AFM25",140.374050117426,0,0
"RCP2.6_SFM","AFM25",123.34116627146,0,0
"REF_MFM","AFM25",116.056413253621,0,0
"REF_SFM","AFM25",97.188764078277,0,0
"RCP2.6_MFM","AFM50",141.014212187977,0,0
"RCP2.6_SFM","AFM50",108.040355789876,0,0
"REF_MFM","AFM50",116.680432585478,0,0
"REF_SFM","AFM50",82.675277686928,0,0
"RCP2.6_MFM","AFM75",142.096060188732,0,0
"RCP2.6_SFM","AFM75",92.269052654342,0,0
"REF_MFM","AFM75",117.326794682269,0,0
"REF_SFM","AFM75",67.500490610441,0,0
"RCP2.6_MFM","AFM100",142.262080546316,0,0
"RCP2.6_SFM","AFM100",76.153522824702,0,0
"REF_MFM","AFM100",117.802902592808,0,0
"REF_SFM","AFM100",51.445823514873,0,0
