"Group","Scenario","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP2.6_MFM","noAFM",0.0198735310761278,0.0372214450701431,0.0467610025811154,0.00958529718048286,1.76150363394323,1.13877921822958,4.58896023530616,0.52574238034567,0.0231658374543504,0.0163284493223418,0.0101773580576538,0,0.0516590825543925,0,0,0,0,0.0014487913271652,0.00275782369597078,0.590266377780756,0.00749130609746726,0,0,0,5.53173858582238e-08,0.0738030455067156,0.0106425423293695,1.33163531741987
"RCP2.6_SFM","noAFM",0.0198734955493681,0.0372214450701431,0.0467611274268704,0.00958529718048286,1.76152889488032,1.13877921822958,4.58903427971365,0.52574238034567,0.023167621575369,0.0163431245741815,0.0101760336735749,0,0.0532532640598467,0,0,0,0,0.0014487913271652,0.00275762761737181,0.590266377780756,0.00731444237437002,0,0,0,5.53173449617064e-08,0.0737821433825318,0.0106396402081369,1.33125800084827
"REF_MFM","noAFM",0.0258305303426358,0.0372188916249196,0.0490313360029383,0.00958529718048286,2.09596521912328,1.13877903116593,5.85246855758572,0.52574238034567,0.0204354755161209,0.015626275407815,0.010170698628613,0,0.0448179506575552,0,0,0,0,0.0010307848625902,0.00216489686758222,0.121740760250343,0.003744036466901,0,0,0,1.76906419145974e-08,0.0715541247796388,0.00863714373319075,1.2976922117221
"REF_SFM","noAFM",0.0258263448248971,0.0372188916249196,0.049031323249448,0.00958529718048286,2.09602368821419,1.13877903116593,5.85247285574614,0.52574238034567,0.0204402487807163,0.015660672652986,0.0101675225479706,0,0.0450383162821782,0,0,0,0,0.0010307848625902,0.00216910165168357,0.121740760250343,0.00365412561654074,0,0,0,1.76906202639808e-08,0.0715543848648645,0.00863268659168046,1.29757701745612
"RCP2.6_MFM","AFMfree",0.0198821956339306,0.0372214450701431,0.0467769145872016,0.00958529718048286,1.76181922509933,1.13877921822958,4.58901841416006,0.52574238034567,0.019230411854243,0.0144449921490219,0.0103307115392619,0.00261628961162311,0.03813615237467,0,0,0,0,0.0014487913271652,0.00272382155058228,0.590266377780756,0.00706854230171835,0,0,0,5.52892516643614e-08,0.0740901462864109,0.0107639276930555,1.33423997426155
"RCP2.6_SFM","AFMfree",0.0198800002470986,0.0372214450701431,0.046774427416277,0.00958529718048286,1.7618939887969,1.13877921822958,4.58916981979558,0.52574238034567,0.0193790243149581,0.0146119309190388,0.0102052740834102,0.00255342776712675,0.0401716228119951,0,0,0,0,0.0014487913271652,0.00273124676068257,0.590266377780756,0.00665941227791402,0,0,0,5.53290503522597e-08,0.0740714990682496,0.0107690319866375,1.3337013553241
"REF_MFM","AFMfree",0.0258361405949499,0.0372188916249196,0.0490498302777654,0.00958529718048286,2.09594862925255,1.13877903116593,5.85246301985562,0.52574238034567,0.0172353429477858,0.0137790223476634,0.0103290848371428,0.00227904124119876,0.0275293918116964,0,0,0,0,0.0010307848625902,0.00213573910790172,0.121740760250343,0.00374925502306258,0,0,0,1.77060730398704e-08,0.0719154949020546,0.00866771285825852,1.30146242777914
"REF_SFM","AFMfree",0.0258392209764187,0.0372188916249196,0.0490405240483416,0.00958529718048286,2.09595135441035,1.13877903116593,5.85243849396814,0.52574238034567,0.0176071364714625,0.0139249460560713,0.00984042283531621,0.0022288271848371,0.0278539690308205,0,0,0,0,0.0010307848625902,0.00214219446426213,0.121740760250343,0.00379952269023045,0,0,0,1.76933424010111e-08,0.0719127299716013,0.00872634969181931,1.3014292408827
"RCP2.6_MFM","AFM25",0.019875801171432,0.0372214450701431,0.0467698090558703,0.00958529718048286,1.76180583843563,1.13877921822958,4.58905451422003,0.52574238034567,0.0189375778299226,0.0145495610378905,0.0102491722154625,0.00210111170955306,0.0396930694950723,0,0,0,0,0.0014487913271652,0.00273978993211106,0.590266377780756,0.0069829970658545,0,0,0,5.52850341257397e-08,0.0740676924969848,0.0107671705510301,1.33367723556614
"RCP2.6_SFM","AFM25",0.0198675059192183,0.0372214450701431,0.0467544574564924,0.00958529718048286,1.76113982194857,1.13877921822958,4.58873470377807,0.52574238034567,0.0195485066317157,0.016259398353028,0.0104687009406286,0.00227939070572287,0.035915376205431,0,0,0,0,0.0014487913271652,0.00277924001716238,0.590266377780756,0.00829575019236517,0,0,0,5.53273433048056e-08,0.074084280523885,0.0107630909012913,1.33506302957334
