"Group","PDFx100","lower95","upper95","Year"
"RCP2.6",10.2339154576229,0,0,"2020"
"REF",10.2337473307647,0,0,"2020"
"RCP2.6",10.167854525362,0,0,"2030"
"REF",10.7083986784304,0,0,"2030"
"RCP2.6",10.2079604171967,0,0,"2040"
"REF",11.0726004047308,0,0,"2040"
"RCP2.6",10.247802730596,0,0,"2050"
"REF",11.3322356199547,0,0,"2050"
"RCP2.6",10.2561791111197,0,0,"2060"
"REF",11.5599648934591,0,0,"2060"
"RCP2.6",10.369045358918,0,0,"2070"
"REF",11.7005792753777,0,0,"2070"
"RCP2.6",10.5728598313601,0,0,"2080"
"REF",11.772377217813,0,0,"2080"
"RCP2.6",10.6908527774412,0,0,"2090"
"REF",11.8118675225765,0,0,"2090"
"RCP2.6",10.5983269882934,0,0,"2100"
"REF",11.8330742871092,0,0,"2100"
