"Scenario","Year","forest_EU_noex","forest_ex","forest_EU_ex","forest_im","EP_EU","EP_im","tot_noexport"
"RCP_MFM_AF0","2000",4.20878318640593e-07,7.23436266629792e-07,4.61388169417389e-07,1.85065820988401e-06,NA,NA,3.3801675264237e-07
"RCP_MFM_AF0","2010",3.80188657349315e-07,7.18544982229779e-07,4.30595558635046e-07,1.99747186802842e-06,NA,NA,2.98059931600033e-07
"RCP_MFM_AF0","2020",3.448533690791e-07,7.26372247629413e-07,4.04389754585359e-07,2.07210318965077e-06,7.01877925961248e-07,NA,2.65950357104986e-07
"RCP_MFM_AF0","2030",3.09555261141836e-07,7.24372513346183e-07,3.68729480116231e-07,2.17647036042226e-06,6.47597100738399e-07,NA,2.35255126723236e-07
"RCP_MFM_AF0","2040",2.75939037177047e-07,7.24305635210876e-07,3.42474722179394e-07,2.50489801688566e-06,6.25437021123132e-07,1.57815191701991e-06,2.03538471391838e-07
"RCP_MFM_AF0","2050",2.62917852916151e-07,7.20966396620559e-07,3.28683009065147e-07,2.53847282944823e-06,5.85785462300001e-07,1.68630427717339e-06,1.85623288324513e-07
"RCP_MFM_AF0","2060",2.65440648982703e-07,7.14711382266528e-07,3.26511729748235e-07,2.78155542935611e-06,5.74028787733468e-07,1.92072594444273e-06,1.81817124771195e-07
"RCP_MFM_AF0","2070",2.88764525475878e-07,7.08594905133698e-07,3.43073292248262e-07,2.95763981771826e-06,5.42451154239073e-07,1.81334990501103e-06,1.89370990601176e-07
"RCP_MFM_AF0","2080",2.92384401930205e-07,7.03141150281567e-07,3.43953207673007e-07,3.14967247937715e-06,5.35202261926316e-07,1.7676501237789e-06,1.81762019750286e-07
"RCP_MFM_AF0","2090",2.88092773259856e-07,6.99790773961029e-07,3.38567474838358e-07,3.40021341866845e-06,5.2510784115441e-07,1.85574613550353e-06,1.69800866921847e-07
"RCP_MFM_AF0","2100",2.79429065054247e-07,6.96997102554385e-07,3.29817653000224e-07,3.40397105915983e-06,5.15027288758943e-07,2.02581740374895e-06,1.55732651013772e-07
"RCP_MFM_AF100","2000",4.20876580938115e-07,7.23432361251379e-07,4.6138614148215e-07,1.84913200537073e-06,NA,NA,3.38012442139386e-07
"RCP_MFM_AF100","2010",3.80186940486253e-07,7.18540833612312e-07,4.30593479499446e-07,1.99579020811523e-06,NA,NA,2.98055748833493e-07
"RCP_MFM_AF100","2020",3.4726738522216e-07,7.2624924329376e-07,4.06786971906482e-07,2.0288363704252e-06,7.03142556283081e-07,2.41411086067754e-06,2.6904529220687e-07
"RCP_MFM_AF100","2030",3.05403788755505e-07,7.2180367398932e-07,3.65672193197241e-07,2.12291830122129e-06,6.58494253050025e-07,2.42530445624022e-06,2.32698193392685e-07
"RCP_MFM_AF100","2040",2.73347104870889e-07,7.18627878089022e-07,3.40628540384618e-07,2.47103982320872e-06,6.02709850681989e-07,1.54088789873889e-06,1.96657264521367e-07
"RCP_MFM_AF100","2050",2.68765157864929e-07,7.18566145840914e-07,3.34807366416959e-07,2.77411543474618e-06,5.72548110567052e-07,1.62434483221043e-06,1.80989376031499e-07
"RCP_MFM_AF100","2060",2.86380017429269e-07,7.1501871427106e-07,3.48331704082184e-07,3.11928808269367e-06,5.524664477763e-07,1.90890016779145e-06,1.76748480259861e-07
"RCP_MFM_AF100","2070",3.14720634394481e-07,7.04936081796505e-07,3.71488543518498e-07,3.36325756816728e-06,5.16066338784296e-07,1.7451968561129e-06,1.73961443517957e-07
"RCP_MFM_AF100","2080",3.16294281019888e-07,6.96587992285443e-07,3.72803788316376e-07,3.49222355202936e-06,5.15232534883744e-07,1.65366534946066e-06,1.55565009575904e-07
"RCP_MFM_AF100","2090",3.01514889672367e-07,6.92734884600704e-07,3.61412019930361e-07,3.35933563740676e-06,5.11630241204603e-07,1.74207964703012e-06,1.31637519283881e-07
"RCP_MFM_AF100","2100",2.78418164281936e-07,6.93695862582554e-07,3.44363549848987e-07,3.29106878173574e-06,5.10661973107641e-07,1.92748894642803e-06,1.08310369095498e-07
"RCP_MFM_AF25","2000",4.20878225526539e-07,7.23434152139544e-07,4.61387805658824e-07,1.8515304822757e-06,NA,NA,3.38018352991889e-07
"RCP_MFM_AF25","2010",3.80188679192921e-07,7.185430180463e-07,4.30595284608694e-07,1.99826120226635e-06,NA,NA,2.98061287236582e-07
"RCP_MFM_AF25","2020",3.44848762151132e-07,7.26396832001828e-07,4.04389702987705e-07,2.06900962497577e-06,7.01878730923171e-07,2.55804077371096e-06,2.69608706242021e-07
"RCP_MFM_AF25","2030",3.08117562098471e-07,7.23896927204185e-07,3.6751461425643e-07,2.17283105339219e-06,6.51739598147595e-07,2.58320115332843e-06,2.37313395366064e-07
"RCP_MFM_AF25","2040",2.74640801055328e-07,7.21763207128177e-07,3.41438361047369e-07,2.4496212595644e-06,6.19470697619239e-07,1.58707693825446e-06,2.01504800839343e-07
"RCP_MFM_AF25","2050",2.63277907196432e-07,7.21521895655713e-07,3.29074058017142e-07,2.66775265773198e-06,5.83125914988638e-07,1.64418199610987e-06,1.84694676906633e-07
"RCP_MFM_AF25","2060",2.67759626772936e-07,7.19666347355362e-07,3.28915865606246e-07,2.69394800494739e-06,5.6610202604733e-07,1.91474401577686e-06,1.81234845071658e-07
"RCP_MFM_AF25","2070",2.917873619247e-07,7.05202243387539e-07,3.46398365964983e-07,3.04894495935672e-06,5.37614742236481e-07,1.79191776067518e-06,1.85750872023085e-07
"RCP_MFM_AF25","2080",2.93366111519169e-07,6.982572738099e-07,3.45877593317967e-07,3.27912944801795e-06,5.25760091663749e-07,1.72570073818821e-06,1.74509085042711e-07
"RCP_MFM_AF25","2090",2.88993336842212e-07,6.94577340832036e-07,3.40944546342032e-07,3.29321122489041e-06,5.1163603060671e-07,1.81390793148628e-06,1.6064133163432e-07
