"Scenario","Ecoregion","A_org","A_new","Annual","Permanent","Pasture","Urban","For_PlantationNonTimber","For_ClearCut","For_Retention_EU","For_PlantationFuel","For_SlashAndBurn","For_SelectionSystem","For_Selective_im","For_Agroforestry","For_TimberPlant","For_ReducedImpactLogging_im","Secondary","ForOther_Extensive","ForOther_Intensive"
"RCP_MFM_AF0","AA0125",0.304595559308,0.19196228224,0.000117935,0.002686109,0.02151591876,0.037083914308,0,0,0,0.0005333885,0,0,0,0,7.49145e-05,0.000249715,0.0222240700828875,0.00989996691287749,0.018247345004235
"RCP_MFM_AF0","AA0126",0.71016176871,0.13475408875,7.05e-05,0.10293693,0.13797518325,0.03173772071,0,0,0,0.0005676575,0,0,0,0,0.0002729405,0.000909801,0.13295931137266,0.0590810603766052,0.108896575250735
"RCP_MFM_AF0","AA0127",1.799014727459,1.00435302942,0.00480225,0.035525755,0.00869087758,0.005685634459,0,0,0,0.0121179025,0,0,0,0,0.0097424875,0.032474958,0.502880167375476,0.0475592717538408,0.135182393870683
"RCP_MFM_AF0","AA0128",5.956764208258,3.12542903234,0.031852576,0.19438264,0.13376416366,0.098013549258,0,0,0,0.0539481435,0,0,0,0,0.0364286585,0.121428862,1.63569573763448,0.136847042479934,0.388973802885588
"RCP_MFM_AF0","AA0201",3.40979258814,0.77662226348,0.938880557,0.210706783,1.04697631652,0.20884099114,0,0,0,0.010937337,0,0,0,0,0.010828137,0.03609379,0.12931752925038,0.0105634243063076,0.0300254594433125
"RCP_MFM_AF0","AA0202",0.354062963991,0.15385504953,0,0.002549551,0.09522786147,0.007467698991,0,0,0,0.042776417,0,0,0,0,1.075e-05,3.59e-05,0.023004275462747,0.0102475183477429,0.0188879421895101
"RCP_MFM_AF0","AA0203",0.966389008,0.1867232342,0.355880315,0.056790829,0.3233469078,0,0,0,0,0.0019314095,0,0,0,0,0.0018902695,0.006300898,0.0280420233370084,0.00142700501463851,0.0040561166483531
"RCP_MFM_AF0","AA0204",3.14461369865032,0.96782233723,0.428122546,0.237744626,1.00137484077,0.18567415221,0,0,0,0.003151985,0,0,0,0,0.003146896,0.010489653,0.243298875758246,0.0238634464055282,0.0399243402765469
"RCP_MFM_AF0","AA0401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCP_MFM_AF0","AA0402",23.9614464126,1.98265722956,1.246867382,0.175699566,5.54195537744,1.1307623756,0,0.01489399,0,0,0,6.7e-06,0,0,0,0,8.25071921185604,3.95672127113096,1.66116330901299
"RCP_MFM_AF0","AA0403",0.929936774,0.44655793994,0.000597975,0.155020578,0.18792886406,0,0,0.001500654,0,0,0,6.75e-07,0,0,0,0,0.0822735804521735,0.039481048895831,0.0165754586519955
"RCP_MFM_AF0","AA0404",1.346614353,0.10554894343,0.002292972,0.155479797,0.35327185757,0,0,0.002361282,0,0,0,1.06e-06,0,0,0,0,0.432718036413685,0.207728897932029,0.0872115066542859
"RCP_MFM_AF0","AA0405",8.11212132556,1.29139182235,0.042670149,0.966044979,2.79784534365,0.23260185156,0,0.009009936,0,0,0,4.05e-06,0,0,0,0,1.64873234812101,0.791516055980606,0.332304789898388
"RCP_MFM_AF0","AA0406",2.57136656723,0.48670854211,0.030583212,0.322316569,1.03932789789,0.13654008723,0,0.001788014,0,0,0,8.05e-07,0,0,0,0,0.329495722146007,0.158191612656407,0.0664141051975863
"RCP_MFM_AF0","AA0407",0.115401077,0.01287281499,0.000202073,0.00797053,0.03307967001,0,0,0.000200787,0,0,0,9.03e-08,0,0,0,0,0.0363182381095049,0.0174364650865971,0.00732040850389801
"RCP_MFM_AF0","AA0408",1.200115259206,0.08287680709,0.00289852,0.115668073,0.30403877091,0.019348129206,0,0.002191885,0,0,0,9.86e-07,0,0,0,0,0.400275290343334,0.192147063723104,0.0806697339335624
"RCP_MFM_AF0","AA0409",28.0960258298,2.89054608311,3.159926475,0.425543831,10.50871305689,0.6408643498,0,0.006456686,0,0,0,2.91e-06,0,0,0,0,6.24091283702666,2.97433482551129,1.24872477546205
"RCP_MFM_AF0","AA0410",1.112406517665,0.20674583626,0.005239605,0.099025479,0.57442273274,0.013238193665,0,0.00090592,0,0,0,4.08e-07,0,0,0,0,0.126605101643925,0.0607277220228505,0.0254955193332244
