"Scenario","Ecoregion","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_SFM_noAF","NT0301",2050,0,0,0,0,2.36028e-09,4.109450748e-07,7.32996600105e-07,5.65508478115e-07,0,0,0,0,2.34608e-09,0,0,0,0,0,0,1.183445956e-06,0,0,0,0,0,4.57237588598118e-07,0,8.36536823040104e-07
"RCP_SFM_noAF","NT0302",2050,0,0,0,0,1.65548296675614e-07,4.193595904e-07,1.74603058003176e-07,0,0,0,0,0,1.24252237e-07,0,0,0,0,0,0,2.618024266e-07,0,0,0,0,0,6.27779320161467e-07,0,9.21909427649979e-07
"RCP_SFM_noAF","NT0303",2050,0,0,0,0,0.000242928106338,0.00025390254017,0.000301206157111218,0.0001377417078828,0,0,0,0,1.15168229e-05,0,0,0,0,0,0,0.00011070808078,0,0,0,0,0,2.85017826782154e-05,0,6.10767364105657e-05
"RCP_SFM_noAF","NT0304",2050,0,0,0,0,8.269083454e-06,3.0092121276e-05,3.7506750414e-06,3.60740777235e-06,0,0,0,0,5.30551158000001e-07,0,0,0,0,0,0,1.4494347448e-05,0,0,0,0,0,2.21036001613939e-06,0,6.06882302945582e-06
"RCP_SFM_noAF","NT0305",2050,0,0,0,0,3.302875602e-05,6.2865422123e-05,6.39439551e-05,3.66299121491e-06,0,0,0,0,2.01177458e-07,0,0,0,0,0,0,3.7668142253e-05,0,0,0,0,0,1.12464597968675e-06,0,4.12167018027364e-06
"RCP_SFM_noAF","NT0306",2050,0,0,0,0,1.716425298e-07,1.636617624e-06,8.538560504832e-07,0,0,0,0,0,1.9836960807e-07,0,0,0,0,0,0,1.7764770951e-07,0,0,0,0,0,9.32148543121675e-07,0,1.71296010587522e-06
"RCP_SFM_noAF","NT0307",2050,0,0,0,0,0,1.04594721e-06,4.35760930432e-06,0,0,0,0,0,5.36776625e-08,0,0,0,0,0,0,0,0,0,0,0,0,3.9893626593584e-07,0,3.06674212589081e-07
"RCP_SFM_noAF","NT0308",2050,0,0,0,0,8.836088924e-05,0.00021824768743,0.00018257759860818,0.00010858543493994,0,0,0,0,9.449669832e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.81312035608481e-05,0,1.94893201513664e-05
"RCP_SFM_noAF","NT0309",2050,0,0,0,0,0.000207805952326,0.000226729107822,0.0003009930109977,3.87675409872e-06,0,0,0,0,1.7622610994e-05,0,0,0,0,0,0,0,0,0,0,0,0,4.41634172223462e-05,0,4.37328811528905e-05
"RCP_SFM_noAF","NT0310",2050,0,0,0,0,0.000427699524871,0.000217576423992,0.00021761400340048,0.0001905127119614,0,0,0,0,1.3667200182e-05,0,0,0,0,0,0,0,0,0,0,0,0,4.75164146165911e-05,0,5.05731843192352e-05
"RCP_SFM_noAF","NT0401",2050,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"RCP_SFM_noAF","NT0402",2050,0,0,0,0,7.9302314e-09,1.021798401e-05,4.4652292943546e-05,2.56617292608e-07,0,1.693114965e-08,0,0,1.3980122824e-07,0,0,0,0,0,0,0,0,0,0,0,0,2.2713750060683e-06,0,3.01270175853653e-06
"RCP_SFM_noAF","NT0404",2050,0,0,0,0,1.22714686632e-05,1.73951704386e-05,0.000199579220732421,1.5727788731925e-05,0,1.318432236e-07,0,0,1.6757695493e-06,0,0,0,0,0,0,6.49453955400001e-07,1.6458873e-08,0,0,0,0,2.19634400362108e-05,0,1.74568704004443e-05
"RCP_SFM_noAF","NT0702",2050,0,0,0,0,4.0533982281068e-07,3.5439803388e-07,4.13491222996142e-05,0,0,0,0,0,2.82205687e-09,0,0,0,0,0,0,3.5011042726e-07,2.4059e-10,0,0,0,0,1.33947680819273e-06,0,1.08839196525294e-06
"RCP_SFM_noAF","NT0703",2050,0,0,0,0,3.54067019e-05,2.571707472e-05,0.00014267214521857,2.10453335184e-06,0,0,0,0,1.356038458e-07,0,0,0,0,0,0,0,0,0,0,0,0,6.49716776389773e-07,0,1.57153676999178e-06
"RCP_SFM_noAF","NT0704",2050,0,0,0,0,0.000225828430742,5.041610728445e-05,0.000833363014417735,9.20166475212e-06,0,0,0,0,3.15029095290001e-07,0,0,0,0,0,0,1.122842622195e-05,7.79625e-11,0,0,0,0,2.86572236233926e-06,0,5.52244226828679e-06
"RCP_SFM_noAF","NT0705",2050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RCP_SFM_noAF","NT0707",2050,0,0,0,0,7.43137317e-07,8.5710943588e-06,2.8013612505155e-05,1.319491495602e-06,0,0,0,0,1.441839966e-07,0,0,0,0,0,0,8.857751987e-06,8.5652e-10,0,0,0,0,2.05002507676907e-06,0,3.9954713696305e-06
"RCP_SFM_noAF","NT0708",2050,0,0,0,0,3.016481352248e-05,4.5572662347e-06,4.26359900188836e-05,1.524997480006e-06,0,2.4068692764e-07,0,0,1.0691405736e-07,0,0,0,0,0,0,1.91195336376e-06,1.028234412e-08,0,0,0,0,1.03897100582647e-05,0,1.3021940991369e-05
"RCP_SFM_noAF","NT0709",2050,0,0,0,0,7.02495809757e-06,1.07640482406e-05,0.0001391537381892,1.104905467818e-06,0,0,0,0,1.9216886776e-07,0,0,0,0,0,0,7.2166806913e-06,3.34974752e-09,0,0,0,0,1.15556932595879e-06,0,1.09261198990617e-06
"RCP_SFM_noAF","NT0710",2050,0,0,0,0,4.47856328725856e-05,1.577438970536e-05,8.29063761525599e-05,3.60661857642663e-06,0,2.45313804e-08,0,0,1.3688302432e-07,0,0,0,0,0,0,2.384750753096e-05,7.16649575999999e-09,0,0,0,0,7.97451027123948e-07,0,1.37278892056189e-06
"RCP_SFM_noAF","NT0801",2050,0,0,0,0,5.419958233536e-05,5.16667643352e-06,4.43741322132192e-05,8.08293555495e-07,0,7.2726731e-08,0,0,9.51412e-10,0,0,0,0,0,0,1.2050921036e-07,9.47743719999999e-09,0,0,0,0,1.54473680415537e-06,0,3.38000667439204e-06
"RCP_SFM_noAF","NT0802",2050,0,0,0,0,7.266936318e-07,5.37818885e-08,0.000158042275209195,1.331864115084e-06,0,4.93160565e-09,0,0,5.5480095e-10,0,0,0,0,0,0,0,4.1463e-11,0,0,0,0,4.16938602593065e-07,0,8.95165322482648e-07
"RCP_SFM_noAF","NT0803",2050,0,0,0,0,0.00015832275353436,7.76233353786e-06,3.86843500349502e-05,4.08288804861e-06,0,5.448544696e-08,0,0,8.20037908e-09,0,0,0,0,0,0,6.70378618782e-06,6.670428384e-08,0,0,0,0,1.39434251448066e-06,0,2.5326085440113e-06
"RCP_SFM_noAF","NT0805",2050,0,0,0,0,5.885346064e-07,1.01752163374e-05,0.000331032710460941,4.996569507072e-07,0,7.19830449e-08,0,0,1.383608421e-07,0,0,0,0,0,0,0,4.04512875e-09,0,0,0,0,2.43241058557064e-06,0,5.81570767177861e-06
"RCP_SFM_noAF","NT0902",2050,0,0,0,0,6.54614402e-06,1.691214798e-05,5.685804428172e-06,2.2403097024e-08,0,0,0,0,1.871845767e-07,0,0,0,0,0,0,9.204173451e-06,0,0,0,0,0,7.16974027939619e-07,0,2.14060344457228e-06
"RCP_SFM_noAF","NT0903",2050,0,0,0,NA,3.33168124e-07,7.42154214e-07,7.036645026e-07,NA,0,0,0,0,1.92168e-09,0,0,0,0,0,0,3.722039568e-07,0,0,0,0,0,1.59136279316012e-08,0,4.10896840899869e-08
"RCP_SFM_noAF","NT0904",2050,0,0,0,0,2.6696744402e-06,7.1399282694e-06,6.613962183e-07,1.03241617448e-05,0,1.018200732e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11816111572876e-09,0,6.11417731434141e-07
