"Group","PDFx100","lower95","upper95","Year"
"RCP2.6",5868294.83571665,0,0,"2020"
"REF",5877143.03131271,0,0,"2020"
"RCP2.6",5851787.44715112,0,0,"2030"
"REF",6145513.40978464,0,0,"2030"
"RCP2.6",5899358.82184081,0,0,"2040"
"REF",6352089.48493191,0,0,"2040"
"RCP2.6",5925257.30908495,0,0,"2050"
"REF",6502616.43024906,0,0,"2050"
"RCP2.6",5916695.86374226,0,0,"2060"
"REF",6629537.28600622,0,0,"2060"
"RCP2.6",5917596.31267741,0,0,"2070"
"REF",6714221.11791672,0,0,"2070"
"RCP2.6",5977914.17588618,0,0,"2080"
"REF",6761530.58893612,0,0,"2080"
"RCP2.6",6000090.47868439,0,0,"2090"
"REF",6780260.33242877,0,0,"2090"
"RCP2.6",5934560.09386117,0,0,"2100"
"REF",6779436.89818843,0,0,"2100"
