"Group","Scenario","Year","Category","PDFx100"
"RCP2.6","noAFM","2020","Afforestation",29828.2352472029
"RCP2.6","noAFM","2020","Regrowth",205712.735187307
"RCP2.6","noAFM","2020","Forest",550461.265711387
"RCP2.6","noAFM","2020","Energy_crops_and_plantations",17652.745294939
"RCP2.6","noAFM","2020","Annual_crops",1396772.18727189
"RCP2.6","noAFM","2020","Pasture",2517369.07255868
"RCP2.6","noAFM","2020","Permanent_crops",782184.672179513
"RCP2.6","noAFM","2020","Urban",368313.922265736
"REF","noAFM","2020","Afforestation",27896.4017565271
"REF","noAFM","2020","Regrowth",205764.329920004
"REF","noAFM","2020","Forest",551421.511055776
"REF","noAFM","2020","Energy_crops_and_plantations",17676.5055459672
"REF","noAFM","2020","Annual_crops",1399419.15500797
"REF","noAFM","2020","Pasture",2521218.99684481
"REF","noAFM","2020","Permanent_crops",784394.548389885
"REF","noAFM","2020","Urban",369351.582791766
"RCP2.6","noAFM","2030","Afforestation",46368.7371499676
"RCP2.6","noAFM","2030","Regrowth",197616.989902169
"RCP2.6","noAFM","2030","Forest",592640.070679879
"RCP2.6","noAFM","2030","Energy_crops_and_plantations",124667.253169163
"RCP2.6","noAFM","2030","Annual_crops",1369164.32622048
"RCP2.6","noAFM","2030","Pasture",2370013.15324663
"RCP2.6","noAFM","2030","Permanent_crops",783024.774327238
"RCP2.6","noAFM","2030","Urban",368292.142455601
"REF","noAFM","2030","Afforestation",46473.7538429231
"REF","noAFM","2030","Regrowth",191130.136068261
"REF","noAFM","2030","Forest",591426.081414005
"REF","noAFM","2030","Energy_crops_and_plantations",54918.4990618468
"REF","noAFM","2030","Annual_crops",1475125.07740198
"REF","noAFM","2030","Pasture",2618973.14829961
"REF","noAFM","2030","Permanent_crops",793690.9217826
"REF","noAFM","2030","Urban",373775.791913413
"RCP2.6","noAFM","2040","Afforestation",57772.4435214273
"RCP2.6","noAFM","2040","Regrowth",189280.83651911
"RCP2.6","noAFM","2040","Forest",631822.848192218
"RCP2.6","noAFM","2040","Energy_crops_and_plantations",159335.144747819
"RCP2.6","noAFM","2040","Annual_crops",1390276.02155623
"RCP2.6","noAFM","2040","Pasture",2315952.55000191
"RCP2.6","noAFM","2040","Permanent_crops",785606.075236431
"RCP2.6","noAFM","2040","Urban",369312.902065659
"REF","noAFM","2040","Afforestation",58331.0223507851
"REF","noAFM","2040","Regrowth",175981.236517723
"REF","noAFM","2040","Forest",629161.593453805
