"Scenario","Ecoregion","A_org","A_new","Annual","Permanent","Pasture","Urban","For_ClearCut","For_Retention_EU","For_PlantationFuel","For_TimberPlant","For_SelectionSystem_EU","For_Selective_im","Secondary","ForOther_Extensive","ForOther_Intensive"
"REF_MFM_AF25","PA0512",0.277041901,0.09377249511,0,0.002328897,0.11914155389,0,0,0,0.000571323,0.000571323,0,0,0.0405852384541431,0.00719020245469505,0.0128808680911619
"REF_MFM_AF25","PA0513",2.19295223633323,0.00236006491000002,0.401169603,0.188144758,1.07906324209,0.033689505671,0.020354503,0,0,0,0,0,0.035504929,0.0272942807475952,0.405371349914634
"REF_MFM_AF25","PA0514",3.55529365264304,0.61115323867,0.101834001,0.514691491,1.27825548533,0,6.85e-06,0,0.033275224,0.001430747,0,0,0.616322983380632,0.13578862904463,0.262535003217778
"REF_MFM_AF25","PA0515",10.08170047587,0.16265095574,3.359906376,0.665173704,2.28385043926,0.04438189287,0.052734074,0,0.000555482,0,0,0,0.322615159,1.62796439177936,1.56186800122064
"REF_MFM_AF25","PA0516",7.00878731948104,1.41229046415,0.046096227,0.572982525,2.41978086185,0,0.013752835,0,2.855e-05,2.855e-05,0,0,1.24582174938165,0.451505571343582,0.846499985755799
"REF_MFM_AF25","PA0517",0.270087203,0.06718958449,0.017190499,0.028766426,0.08207887051,0,0.000328022,0,0,0,0,0,0.0433730107296061,0.0106373231401659,0.020523467130228
"REF_MFM_AF25","PA0518",5.52144895488,0.64304790487,0.576564848,0.296297079,1.43259162413,0.04124206488,0.020875588,0,0,0,0,0,0.916145897784572,0.544375425539831,1.0503085226756
"REF_MFM_AF25","PA0519",35.915324297188,5.8242548798,0.396213949,1.419052408,5.6146605012,0.038611398188,0.033453669,0,0.021355905,0.021355905,0,0,6.76492002762205,13.1336169289506,2.64782872542736
"REF_MFM_AF25","PA0520",1.1436856353554,0.15163963948,0.095615219,0.020874156,0.49004154552,0.06220253819,0,0,0,0,0,0,0.137340133420007,0.0647981593905148,0.121174244354882
"REF_MFM_AF25","PA0521",0.927884229948,0.18763986969,0.084717522,0.131933643,0.45165942531,0.005091612948,9.3e-05,0,0,0,0,0,0.0527783963234149,0.00910651030624822,0.00486425037033686
