Ecoregion,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
AA0101,0.02764,0.02764,0.02764,0.02764,0.02764,0.02764,0.02764,0.02764,0.02764,0.02764,0.02764,NotRel
AA0102,0.084483422,0.084483422,0.084483422,0.084483422,0.084483422,0.084483422,0.084483422,0.084483422,0.084483422,0.084483422,0.084483422,NotRel
AA0103,0.011393046,0.011393046,0.011393046,0.011393046,0.011393046,0.011393046,0.011393046,0.011393046,0.011393046,0.011393046,0.011393046,NotRel
AA0104,0.042014224,0.042014224,0.042014224,0.042014224,0.042014224,0.042014224,0.042014224,0.042014224,0.042014224,0.042014224,0.042014224,NotRel
AA0105,0.115136133,0.115136133,0.115136133,0.115136133,0.115136133,0.115136133,0.115136133,0.115136133,0.115136133,0.115136133,0.115136133,NotRel
AA0106,0.202830304,0.202830304,0.202830304,0.202830304,0.202830304,0.202830304,0.202830304,0.202830304,0.202830304,0.202830304,0.202830304,NotRel
AA0107,0.042715254,0.042715254,0.042715254,0.042715254,0.042715254,0.042715254,0.042715254,0.042715254,0.042715254,0.042715254,0.042715254,NotRel
AA0108,0.006503807,0.006503807,0.006503807,0.006503807,0.006503807,0.006503807,0.006503807,0.006503807,0.006503807,0.006503807,0.006503807,NotRel
AA0110,0.241442549,0.241442549,0.241442549,0.241442549,0.241442549,0.241442549,0.241442549,0.241442549,0.241442549,0.241442549,0.241442549,NotRel
AA0111,0.265454692,0.265454692,0.265454692,0.265454692,0.265454692,0.265454692,0.265454692,0.265454692,0.265454692,0.265454692,0.265454692,NotRel
AA0112,0.07776587,0.07776587,0.07776587,0.07776587,0.07776587,0.07776587,0.07776587,0.07776587,0.07776587,0.07776587,0.07776587,NotRel
AA0113,0.15826323,0.15826323,0.15826323,0.15826323,0.15826323,0.15826323,0.15826323,0.15826323,0.15826323,0.15826323,0.15826323,NotRel
AA0115,0.143379739,0.143379739,0.143379739,0.143379739,0.143379739,0.143379739,0.143379739,0.143379739,0.143379739,0.143379739,0.143379739,NotRel
AA0116,0.01851879,0.01851879,0.01851879,0.01851879,0.01851879,0.01851879,0.01851879,0.01851879,0.01851879,0.01851879,0.01851879,NotRel
AA0117,0.039859827,0.039859827,0.039859827,0.039859827,0.039859827,0.039859827,0.039859827,0.039859827,0.039859827,0.039859827,0.039859827,NotRel
AA0118,0.080987724,0.080987724,0.080987724,0.080987724,0.080987724,0.080987724,0.080987724,0.080987724,0.080987724,0.080987724,0.080987724,NotRel
AA0119,0.5244,0.5244,0.5244,0.5244,0.5244,0.5244,0.5244,0.5244,0.5244,0.5244,0.5244,NotRel
AA0120,0.255747004,0.255747004,0.255747004,0.255747004,0.255747004,0.255747004,0.255747004,0.255747004,0.255747004,0.255747004,0.255747004,NotRel
AA0121,0.306586084,0.306586084,0.306586084,0.306586084,0.306586084,0.306586084,0.306586084,0.306586084,0.306586084,0.306586084,0.306586084,NotRel
AA0122,0.216412895,0.216412895,0.216412895,0.216412895,0.216412895,0.216412895,0.216412895,0.216412895,0.216412895,0.216412895,0.216412895,NotRel
AA0123,0.481753585,0.481753585,0.481753585,0.481753585,0.481753585,0.481753585,0.481753585,0.481753585,0.481753585,0.481753585,0.481753585,NotRel
AA0124,0.259311134,0.259311134,0.259311134,0.259311134,0.259311134,0.259311134,0.259311134,0.259311134,0.259311134,0.259311134,0.259311134,NotRel
AA0125,0.066821445,0.066821445,0.066821445,0.066821445,0.066821445,0.066821445,0.066821445,0.066821445,0.066821445,0.066821445,0.066821445,NotRel
AA0126,0.881681742,0.881681742,0.881681742,0.881681742,0.881681742,0.881681742,0.881681742,0.881681742,0.881681742,0.881681742,0.881681742,NotRel
AA0127,0.023195836,0.023195836,0.023195836,0.023195836,0.023195836,0.023195836,0.023195836,0.023195836,0.023195836,0.023195836,0.023195836,NotRel
