Ecoregion,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
AA0101,0.01382,0.01382,0.01382,0.01382,0.01382,0.01382,0.01382,0.01382,0.01382,0.01382,0.01382,NotRel
AA0102,0.083886954,0.083886954,0.083886954,0.083886954,0.083886954,0.083886954,0.083886954,0.083886954,0.083886954,0.083886954,0.083886954,NotRel
AA0103,0.011393046,0.011393046,0.011393046,0.011393046,0.011393046,0.011393046,0.011393046,0.011393046,0.011393046,0.011393046,0.011393046,NotRel
AA0104,0.042014224,0.042014224,0.042014224,0.042014224,0.042014224,0.042014224,0.042014224,0.042014224,0.042014224,0.042014224,0.042014224,NotRel
AA0105,0.081877725,0.081877725,0.081877725,0.081877725,0.081877725,0.081877725,0.081877725,0.081877725,0.081877725,0.081877725,0.081877725,NotRel
AA0106,0.202830304,0.202830304,0.202830304,0.202830304,0.202830304,0.202830304,0.202830304,0.202830304,0.202830304,0.202830304,0.202830304,NotRel
AA0107,0.021357627,0.021357627,0.021357627,0.021357627,0.021357627,0.021357627,0.021357627,0.021357627,0.021357627,0.021357627,0.021357627,NotRel
AA0108,0.006503807,0.006503807,0.006503807,0.006503807,0.006503807,0.006503807,0.006503807,0.006503807,0.006503807,0.006503807,0.006503807,NotRel
AA0110,0.120721274,0.120721274,0.120721274,0.120721274,0.120721274,0.120721274,0.120721274,0.120721274,0.120721274,0.120721274,0.120721274,NotRel
AA0111,0.132727346,0.132727346,0.132727346,0.132727346,0.132727346,0.132727346,0.132727346,0.132727346,0.132727346,0.132727346,0.132727346,NotRel
AA0112,0.038882935,0.038882935,0.038882935,0.038882935,0.038882935,0.038882935,0.038882935,0.038882935,0.038882935,0.038882935,0.038882935,NotRel
AA0113,0.079131615,0.079131615,0.079131615,0.079131615,0.079131615,0.079131615,0.079131615,0.079131615,0.079131615,0.079131615,0.079131615,NotRel
AA0115,0.093359272,0.093359272,0.093359272,0.093359272,0.093359272,0.093359272,0.093359272,0.093359272,0.093359272,0.093359272,0.093359272,NotRel
AA0116,0.014195206,0.014195206,0.014195206,0.014195206,0.014195206,0.014195206,0.014195206,0.014195206,0.014195206,0.014195206,0.014195206,NotRel
AA0117,0.039859827,0.039859827,0.039859827,0.039859827,0.039859827,0.039859827,0.039859827,0.039859827,0.039859827,0.039859827,0.039859827,NotRel
AA0118,0.080987724,0.080987724,0.080987724,0.080987724,0.080987724,0.080987724,0.080987724,0.080987724,0.080987724,0.080987724,0.080987724,NotRel
AA0119,0.2622,0.2622,0.2622,0.2622,0.2622,0.2622,0.2622,0.2622,0.2622,0.2622,0.2622,NotRel
AA0120,0.127873502,0.127873502,0.127873502,0.127873502,0.127873502,0.127873502,0.127873502,0.127873502,0.127873502,0.127873502,0.127873502,NotRel
AA0121,0.210214711,0.210214711,0.210214711,0.210214711,0.210214711,0.210214711,0.210214711,0.210214711,0.210214711,0.210214711,0.210214711,NotRel
AA0122,0.147271774,0.147271774,0.147271774,0.147271774,0.147271774,0.147271774,0.147271774,0.147271774,0.147271774,0.147271774,0.147271774,NotRel
AA0123,0.481753585,0.481753585,0.481753585,0.481753585,0.481753585,0.481753585,0.481753585,0.481753585,0.481753585,0.481753585,0.481753585,NotRel
AA0124,0.259311134,0.259311134,0.259311134,0.259311134,0.259311134,0.259311134,0.259311134,0.259311134,0.259311134,0.259311134,0.259311134,NotRel
AA0125,0.033410722,0.033410722,0.033410722,0.033410722,0.033410722,0.033410722,0.033410722,0.033410722,0.033410722,0.033410722,0.033410722,NotRel
AA0126,0.440840871,0.440840871,0.440840871,0.440840871,0.440840871,0.440840871,0.440840871,0.440840871,0.440840871,0.440840871,0.440840871,NotRel
AA0127,0.023195836,0.023195836,0.023195836,0.023195836,0.023195836,0.023195836,0.023195836,0.023195836,0.023195836,0.023195836,0.023195836,NotRel
AA0128,0.179972504,0.179972504,0.179972504,0.179972504,0.179972504,0.179972504,0.179972504,0.179972504,0.179972504,0.179972504,0.179972504,NotRel
AA0201,0.164888821,0.164888821,0.164888821,0.164888821,0.164888821,0.164888821,0.164888821,0.164888821,0.164888821,0.164888821,0.164888821,NotRel
AA0202,0.015547514,0.015547514,0.015547514,0.015547514,0.015547514,0.015547514,0.015547514,0.015547514,0.015547514,0.015547514,0.015547514,NotRel
AA0203,0.054836417,0.054836417,0.054836417,0.054836417,0.054836417,0.054836417,0.054836417,0.054836417,0.054836417,0.054836417,0.054836417,NotRel
AA0204,0.162435767,0.162435767,0.162435767,0.162435767,0.162435767,0.162435767,0.162435767,0.162435767,0.162435767,0.162435767,0.162435767,NotRel
AA0401,0.01865,0.01865,0.01865,0.01865,0.01865,0.01865,0.01865,0.01865,0.01865,0.01865,0.01865,NotRel
AA0402,0.490706624,0.490706624,0.490706624,0.490706624,0.490706624,0.490706624,0.490706624,0.490706624,0.490706624,0.490706624,0.490706624,NotRel
AA0403,0.076824739,0.076824739,0.076824739,0.076824739,0.076824739,0.076824739,0.076824739,0.076824739,0.076824739,0.076824739,0.076824739,NotRel
AA0404,0.081735804,0.081735804,0.081735804,0.081735804,0.081735804,0.081735804,0.081735804,0.081735804,0.081735804,0.081735804,0.081735804,NotRel
AA0405,0.162908001,0.162908001,0.162908001,0.162908001,0.162908001,0.162908001,0.162908001,0.162908001,0.162908001,0.162908001,0.162908001,NotRel
AA0406,0.122250952,0.122250952,0.122250952,0.122250952,0.122250952,0.122250952,0.122250952,0.122250952,0.122250952,0.122250952,0.122250952,NotRel
AA0407,0.009288619,0.009288619,0.009288619,0.009288619,0.009288619,0.009288619,0.009288619,0.009288619,0.009288619,0.009288619,0.009288619,NotRel
AA0408,0.028221406,0.028221406,0.028221406,0.028221406,0.028221406,0.028221406,0.028221406,0.028221406,0.028221406,0.028221406,0.028221406,NotRel
AA0409,0.492015969,0.492015969,0.492015969,0.492015969,0.492015969,0.492015969,0.492015969,0.492015969,0.492015969,0.492015969,0.492015969,NotRel
AA0410,0.051161362,0.051161362,0.051161362,0.051161362,0.051161362,0.051161362,0.051161362,0.051161362,0.051161362,0.051161362,0.051161362,NotRel
AA0411,0.094319868,0.094319868,0.094319868,0.094319868,0.094319868,0.094319868,0.094319868,0.094319868,0.094319868,0.094319868,0.094319868,NotRel
AA0412,0.124474871,0.124474871,0.124474871,0.124474871,0.124474871,0.124474871,0.124474871,0.124474871,0.124474871,0.124474871,0.124474871,NotRel
AA0413,0.160897785,0.160897785,0.160897785,0.160897785,0.160897785,0.160897785,0.160897785,0.160897785,0.160897785,0.160897785,0.160897785,NotRel
AA0414,0.081745753,0.081745753,0.081745753,0.081745753,0.081745753,0.081745753,0.081745753,0.081745753,0.081745753,0.081745753,0.081745753,NotRel
AA0701,0.352605764,0.352605764,0.352605764,0.352605764,0.352605764,0.352605764,0.352605764,0.352605764,0.352605764,0.352605764,0.352605764,NotRel
AA0702,0.151819285,0.151819285,0.151819285,0.151819285,0.151819285,0.151819285,0.151819285,0.151819285,0.151819285,0.151819285,0.151819285,NotRel
AA0703,0.130086604,0.130086604,0.130086604,0.130086604,0.130086604,0.130086604,0.130086604,0.130086604,0.130086604,0.130086604,0.130086604,NotRel
AA0704,0.159518403,0.159518403,0.159518403,0.159518403,0.159518403,0.159518403,0.159518403,0.159518403,0.159518403,0.159518403,0.159518403,NotRel
AA0705,0.05372485,0.05372485,0.05372485,0.05372485,0.05372485,0.05372485,0.05372485,0.05372485,0.05372485,0.05372485,0.05372485,NotRel
AA0706,0.647417911,0.647417911,0.647417911,0.647417911,0.647417911,0.647417911,0.647417911,0.647417911,0.647417911,0.647417911,0.647417911,NotRel
AA0707,1.184644846,1.184644846,1.184644846,1.184644846,1.184644846,1.184644846,1.184644846,1.184644846,1.184644846,1.184644846,1.184644846,NotRel
AA0708,0.054708658,0.054708658,0.054708658,0.054708658,0.054708658,0.054708658,0.054708658,0.054708658,0.054708658,0.054708658,0.054708658,NotRel
AA0709,0.113698023,0.113698023,0.113698023,0.113698023,0.113698023,0.113698023,0.113698023,0.113698023,0.113698023,0.113698023,0.113698023,NotRel
AA0801,0.283331188,0.283331188,0.283331188,0.283331188,0.283331188,0.283331188,0.283331188,0.283331188,0.283331188,0.283331188,0.283331188,NotRel
AA0802,0.469931337,0.469931337,0.469931337,0.469931337,0.469931337,0.469931337,0.469931337,0.469931337,0.469931337,0.469931337,0.469931337,NotRel
AA0803,0.119023351,0.119023351,0.119023351,0.119023351,0.119023351,0.119023351,0.119023351,0.119023351,0.119023351,0.119023351,0.119023351,NotRel
AA1001,0.015025266,0.015025266,0.015025266,0.015025266,0.015025266,0.015025266,0.015025266,0.015025266,0.015025266,0.015025266,0.015025266,NotRel
AA1002,0.010291795,0.010291795,0.010291795,0.010291795,0.010291795,0.010291795,0.010291795,0.010291795,0.010291795,0.010291795,0.010291795,NotRel
AA1003,0.364132177,0.364132177,0.364132177,0.364132177,0.364132177,0.364132177,0.364132177,0.364132177,0.364132177,0.364132177,0.364132177,NotRel
AA1201,0.185825396,0.185825396,0.185825396,0.185825396,0.185825396,0.185825396,0.185825396,0.185825396,0.185825396,0.185825396,0.185825396,NotRel
AA1202,0.17310324,0.17310324,0.17310324,0.17310324,0.17310324,0.17310324,0.17310324,0.17310324,0.17310324,0.17310324,0.17310324,NotRel
