"Group","PDFx100","lower95","upper95","Year"
"RCP2.6",14.0693640958703,9.67443221154424,19.0994383608235,"2020"
"REF",14.0751699853006,9.67711433663441,19.1082496348513,"2020"
"RCP2.6",13.9449561006479,9.59837984561761,18.8867299513496,"2030"
"REF",14.6901206815532,10.0049242246852,19.9531135253091,"2030"
"RCP2.6",14.0058157961523,9.63265192530279,18.9523654637197,"2040"
"REF",15.1575151586426,10.2479853779119,20.6026566438198,"2040"
"RCP2.6",14.0307427234522,9.63328245048097,18.9609934300911,"2050"
"REF",15.516738992586,10.4537267583286,21.0907261376604,"2050"
"RCP2.6",14.0206979404199,9.61607119377148,18.9114235341683,"2060"
"REF",15.8440885639607,10.649424753174,21.5329531088848,"2060"
"RCP2.6",14.070345943644,9.58324222405753,18.9434317911457,"2070"
"REF",16.0829391707741,10.790242203066,21.8531074443218,"2070"
"RCP2.6",14.2030256150807,9.54448560986076,19.0810430015568,"2080"
"REF",16.2154487052679,10.8679032161629,22.0274878466443,"2080"
"RCP2.6",14.2853098042835,9.46396321266308,19.1393391336196,"2090"
"REF",16.2900052283927,10.8975903362796,22.1215949942079,"2090"
"RCP2.6",14.1780470440889,9.30699633941775,18.9409206631842,"2100"
"REF",16.3227968198646,10.9156887402221,22.1531621657582,"2100"
